,kernel,dimension,n_iters,calibrated,statistic,sample
0,matern32,100,28,none,-4.5287283205670255,0
1,matern32,100,29,weightedmean,-6.757701280171664,0
2,matern32,100,29,gpkern,-12.915946990699958,0
3,matern32,100,28,noise,-4.5287283205670255,0
4,matern32,100,28,spectrum,-4.5287283205670255,0
5,matern32,100,26,none,-6.6414811706862,1
6,matern32,100,26,weightedmean,-6.296740664824945,1
7,matern32,100,26,gpkern,1.107545441565228,1
8,matern32,100,26,noise,-6.6414811706862,1
9,matern32,100,26,spectrum,-6.6414811706862,1
10,matern32,100,27,none,-5.953949684608753,2
11,matern32,100,27,weightedmean,-5.629448771200426,2
12,matern32,100,27,gpkern,3.4171854666271075,2
13,matern32,100,27,noise,-5.953949684608753,2
14,matern32,100,27,spectrum,-5.953949684608753,2
15,matern32,100,28,none,-5.671125699051516,3
16,matern32,100,29,weightedmean,-5.473110090306629,3
17,matern32,100,29,gpkern,3.2966239249521205,3
18,matern32,100,28,noise,-5.671125699051516,3
19,matern32,100,28,spectrum,-5.671125699051516,3
20,matern32,100,27,none,-4.224858812261284,4
21,matern32,100,27,weightedmean,-3.8709819825036282,4
22,matern32,100,28,gpkern,-1.7767380595325122,4
23,matern32,100,27,noise,-4.224858812261284,4
24,matern32,100,27,spectrum,-4.224858812261284,4
25,matern32,100,27,none,-5.59830817105281,5
26,matern32,100,27,weightedmean,-5.237107831995928,5
27,matern32,100,27,gpkern,-1.5814870709889304,5
28,matern32,100,27,noise,-5.59830817105281,5
29,matern32,100,27,spectrum,-5.59830817105281,5
30,matern32,100,28,none,-5.475439810803434,6
31,matern32,100,28,weightedmean,-5.1392385297288685,6
32,matern32,100,29,gpkern,2.795687824535359,6
33,matern32,100,28,noise,-5.475439810803434,6
34,matern32,100,28,spectrum,-5.475439810803434,6
35,matern32,100,29,none,-5.968012305166917,7
36,matern32,100,29,weightedmean,-5.6272679417152744,7
37,matern32,100,29,gpkern,3.365430574199366,7
38,matern32,100,29,noise,-5.968012305166917,7
39,matern32,100,29,spectrum,-5.968012305166917,7
40,matern32,100,28,none,-6.561204646909214,8
41,matern32,100,28,weightedmean,-6.191234878582177,8
42,matern32,100,28,gpkern,2.423606135019219,8
43,matern32,100,28,noise,-6.561204646909214,8
44,matern32,100,28,spectrum,-6.561204646909214,8
45,matern32,100,28,none,-5.747952687462729,9
46,matern32,100,29,weightedmean,-12.615674303851762,9
47,matern32,100,29,gpkern,-0.0014412098961633646,9
48,matern32,100,28,noise,-5.747952687462729,9
49,matern32,100,28,spectrum,-5.747952687462729,9
50,matern32,100,28,none,-6.232208546895455,10
51,matern32,100,28,weightedmean,-5.899458815600017,10
52,matern32,100,29,gpkern,3.508117050934379,10
53,matern32,100,28,noise,-6.232208546895455,10
54,matern32,100,28,spectrum,-6.232208546895455,10
55,matern32,100,28,none,-6.639203130406655,11
56,matern32,100,28,weightedmean,-6.101167085536706,11
57,matern32,100,28,gpkern,2.8663618751322284,11
58,matern32,100,28,noise,-6.639203130406655,11
59,matern32,100,28,spectrum,-6.639203130406655,11
60,matern32,100,28,none,-5.727885422548495,12
61,matern32,100,28,weightedmean,-5.382272759263345,12
62,matern32,100,28,gpkern,3.691149934141011,12
63,matern32,100,28,noise,-5.727885422548495,12
64,matern32,100,28,spectrum,-5.727885422548495,12
65,matern32,100,29,none,-5.845126235253416,13
66,matern32,100,29,weightedmean,-5.521299151485688,13
67,matern32,100,30,gpkern,2.630276335411656,13
68,matern32,100,29,noise,-5.845126235253416,13
69,matern32,100,29,spectrum,-5.845126235253416,13
70,matern32,100,26,none,-4.500027601875873,14
71,matern32,100,26,weightedmean,-4.14440855690395,14
72,matern32,100,26,gpkern,4.937259086944536,14
73,matern32,100,26,noise,-4.500027601875873,14
74,matern32,100,26,spectrum,-4.500027601875873,14
75,matern32,100,27,none,-6.3384311646767095,15
76,matern32,100,28,weightedmean,-6.8737398720732905,15
77,matern32,100,28,gpkern,2.9651869831812623,15
78,matern32,100,27,noise,-6.3384311646767095,15
79,matern32,100,27,spectrum,-6.3384311646767095,15
80,matern32,100,28,none,-5.7969076596165285,16
81,matern32,100,29,weightedmean,-6.132526266447719,16
82,matern32,100,29,gpkern,-11.108999116782686,16
83,matern32,100,28,noise,-5.7969076596165285,16
84,matern32,100,28,spectrum,-5.7969076596165285,16
85,matern32,100,28,none,-6.499072940785205,17
86,matern32,100,28,weightedmean,-6.148956362410961,17
87,matern32,100,29,gpkern,3.263955400573764,17
88,matern32,100,28,noise,-6.499072940785205,17
89,matern32,100,28,spectrum,-6.499072940785205,17
90,matern32,100,27,none,-7.73391959836749,18
91,matern32,100,27,weightedmean,-7.859492211011539,18
92,matern32,100,28,gpkern,-8.358752904942442,18
93,matern32,100,27,noise,-7.73391959836749,18
94,matern32,100,27,spectrum,-7.73391959836749,18
95,matern32,100,28,none,-7.329454075095859,19
96,matern32,100,28,weightedmean,-6.991379871153759,19
97,matern32,100,29,gpkern,3.6258248514359614,19
98,matern32,100,28,noise,-7.329454075095859,19
99,matern32,100,28,spectrum,-7.329454075095859,19
100,matern32,100,28,none,1.0914066374811853,20
101,matern32,100,28,weightedmean,1.0914066374811853,20
102,matern32,100,28,gpkern,1.0914066374811853,20
103,matern32,100,28,noise,1.0914066374811853,20
104,matern32,100,28,spectrum,1.0914066374811853,20
105,matern32,100,28,none,-5.740938829960296,21
106,matern32,100,28,weightedmean,-5.40993882237812,21
107,matern32,100,28,gpkern,3.9895399090774637,21
108,matern32,100,28,noise,-5.740938829960296,21
109,matern32,100,28,spectrum,-5.740938829960296,21
110,matern32,100,28,none,-5.813784265223276,22
111,matern32,100,28,weightedmean,-5.470870254865936,22
112,matern32,100,29,gpkern,-12.324379119080255,22
113,matern32,100,28,noise,-5.813784265223276,22
114,matern32,100,28,spectrum,-5.813784265223276,22
115,matern32,100,27,none,-6.154282319203911,23
116,matern32,100,28,weightedmean,-5.8534128056670855,23
117,matern32,100,28,gpkern,3.246726495258506,23
118,matern32,100,27,noise,-6.154282319203911,23
119,matern32,100,27,spectrum,-6.154282319203911,23
120,matern32,100,28,none,-5.410234825136028,24
121,matern32,100,29,weightedmean,-5.515713424086915,24
122,matern32,100,29,gpkern,2.2792884602216468,24
123,matern32,100,28,noise,-5.410234825136028,24
124,matern32,100,28,spectrum,-5.410234825136028,24
125,matern32,100,28,none,-4.4761104427852425,25
126,matern32,100,28,weightedmean,-4.097919947337853,25
127,matern32,100,29,gpkern,2.464489809697607,25
128,matern32,100,28,noise,-4.4761104427852425,25
129,matern32,100,28,spectrum,-4.4761104427852425,25
130,matern32,100,29,none,-7.596965921337909,26
131,matern32,100,29,weightedmean,-7.555746747076262,26
132,matern32,100,29,gpkern,0.3439348317396096,26
133,matern32,100,29,noise,-7.596965921337909,26
134,matern32,100,29,spectrum,-7.596965921337909,26
135,matern32,100,28,none,-5.663397628826548,27
136,matern32,100,29,weightedmean,-6.011433319817991,27
137,matern32,100,29,gpkern,2.595336686900279,27
138,matern32,100,28,noise,-5.663397628826548,27
139,matern32,100,28,spectrum,-5.663397628826548,27
140,matern32,100,28,none,-5.775406936800913,28
141,matern32,100,29,weightedmean,-6.180272193268107,28
142,matern32,100,29,gpkern,2.2866348405342367,28
143,matern32,100,28,noise,-5.775406936800913,28
144,matern32,100,28,spectrum,-5.775406936800913,28
145,matern32,100,27,none,-5.430364197620666,29
146,matern32,100,28,weightedmean,-5.619945904697819,29
147,matern32,100,28,gpkern,3.1117089590383364,29
148,matern32,100,27,noise,-5.430364197620666,29
149,matern32,100,27,spectrum,-5.430364197620666,29
150,matern32,100,29,none,-7.6396865643077545,30
151,matern32,100,29,weightedmean,-7.090388427567244,30
152,matern32,100,29,gpkern,-1.7854211295354565,30
153,matern32,100,29,noise,-7.6396865643077545,30
154,matern32,100,29,spectrum,-7.6396865643077545,30
155,matern32,100,28,none,-7.314157113184254,31
156,matern32,100,28,weightedmean,-7.375549490653014,31
157,matern32,100,29,gpkern,-10.71155821824867,31
158,matern32,100,28,noise,-7.314157113184254,31
159,matern32,100,28,spectrum,-7.314157113184254,31
160,matern32,100,28,none,-6.097857655086526,32
161,matern32,100,28,weightedmean,-5.748685548966443,32
162,matern32,100,29,gpkern,3.1947761134813293,32
163,matern32,100,28,noise,-6.097857655086526,32
164,matern32,100,28,spectrum,-6.097857655086526,32
165,matern32,100,27,none,-5.594952963527751,33
166,matern32,100,27,weightedmean,-5.243871427592548,33
167,matern32,100,28,gpkern,3.2348168513041773,33
168,matern32,100,27,noise,-5.594952963527751,33
169,matern32,100,27,spectrum,-5.594952963527751,33
170,matern32,100,28,none,-5.6317913155132535,34
171,matern32,100,28,weightedmean,-5.321540378437722,34
172,matern32,100,28,gpkern,2.8266235620322977,34
173,matern32,100,28,noise,-5.6317913155132535,34
174,matern32,100,28,spectrum,-5.6317913155132535,34
175,matern32,100,28,none,-4.37674031920165,35
176,matern32,100,29,weightedmean,-6.151014020899579,35
177,matern32,100,30,gpkern,-12.021923897028442,35
178,matern32,100,28,noise,-4.37674031920165,35
179,matern32,100,28,spectrum,-4.37674031920165,35
180,matern32,100,29,none,-6.312278849546327,36
181,matern32,100,29,weightedmean,-6.030017062550139,36
182,matern32,100,29,gpkern,2.2744729300423434,36
183,matern32,100,29,noise,-6.312278849546327,36
184,matern32,100,29,spectrum,-6.312278849546327,36
185,matern32,100,27,none,-4.945461354435496,37
186,matern32,100,27,weightedmean,-4.643338055801792,37
187,matern32,100,28,gpkern,2.3840206674804745,37
188,matern32,100,27,noise,-4.945461354435496,37
189,matern32,100,27,spectrum,-4.945461354435496,37
190,matern32,100,28,none,-7.195611202959555,38
191,matern32,100,28,weightedmean,-6.821978279588584,38
192,matern32,100,29,gpkern,3.730643779673259,38
193,matern32,100,28,noise,-7.195611202959555,38
194,matern32,100,28,spectrum,-7.195611202959555,38
195,matern32,100,28,none,-6.3721275512820394,39
196,matern32,100,28,weightedmean,-6.051561861055593,39
197,matern32,100,29,gpkern,3.6537227705462874,39
198,matern32,100,28,noise,-6.3721275512820394,39
199,matern32,100,28,spectrum,-6.3721275512820394,39
200,matern32,100,27,none,-5.818440701483939,40
201,matern32,100,27,weightedmean,-5.488673050147349,40
202,matern32,100,28,gpkern,-12.13688375456491,40
203,matern32,100,27,noise,-5.818440701483939,40
204,matern32,100,27,spectrum,-5.818440701483939,40
205,matern32,100,27,none,-5.882750430495981,41
206,matern32,100,27,weightedmean,-5.527705348566161,41
207,matern32,100,28,gpkern,-12.905649343450937,41
208,matern32,100,27,noise,-5.882750430495981,41
209,matern32,100,27,spectrum,-5.882750430495981,41
210,matern32,100,28,none,-6.13863875179109,42
211,matern32,100,28,weightedmean,-5.787447235531948,42
212,matern32,100,28,gpkern,3.628185318327758,42
213,matern32,100,28,noise,-6.13863875179109,42
214,matern32,100,28,spectrum,-6.13863875179109,42
215,matern32,100,26,none,-5.8385549901149005,43
216,matern32,100,26,weightedmean,-5.458201393086965,43
217,matern32,100,27,gpkern,2.9917106325243266,43
218,matern32,100,26,noise,-5.8385549901149005,43
219,matern32,100,26,spectrum,-5.8385549901149005,43
220,matern32,100,27,none,-6.771459083914635,44
221,matern32,100,28,weightedmean,-5.561316214415418,44
222,matern32,100,28,gpkern,3.253667332110746,44
223,matern32,100,27,noise,-6.771459083914635,44
224,matern32,100,27,spectrum,-6.771459083914635,44
225,matern32,100,26,none,-6.295802553493918,45
226,matern32,100,26,weightedmean,-5.98607018862555,45
227,matern32,100,26,gpkern,2.0187196006281325,45
228,matern32,100,26,noise,-6.295802553493918,45
229,matern32,100,26,spectrum,-6.295802553493918,45
230,matern32,100,28,none,-5.739488358449434,46
231,matern32,100,28,weightedmean,-5.558187509347987,46
232,matern32,100,28,gpkern,2.2535911006863603,46
233,matern32,100,28,noise,-5.739488358449434,46
234,matern32,100,28,spectrum,-5.739488358449434,46
235,matern32,100,27,none,-6.403207596610091,47
236,matern32,100,27,weightedmean,-5.9626088540619495,47
237,matern32,100,28,gpkern,-11.664004629653938,47
238,matern32,100,27,noise,-6.403207596610091,47
239,matern32,100,27,spectrum,-6.403207596610091,47
240,matern32,100,27,none,-7.221314077930462,48
241,matern32,100,27,weightedmean,-7.123853774546967,48
242,matern32,100,28,gpkern,4.091923355679805,48
243,matern32,100,27,noise,-7.221314077930462,48
244,matern32,100,27,spectrum,-7.221314077930462,48
245,matern32,100,27,none,-6.0626711004497,49
246,matern32,100,27,weightedmean,-5.748813246431565,49
247,matern32,100,28,gpkern,3.2982486899371644,49
248,matern32,100,27,noise,-6.0626711004497,49
249,matern32,100,27,spectrum,-6.0626711004497,49
250,matern32,100,28,none,-6.68092595885359,50
251,matern32,100,28,weightedmean,-6.410813709979727,50
252,matern32,100,28,gpkern,2.271953177542538,50
253,matern32,100,28,noise,-6.68092595885359,50
254,matern32,100,28,spectrum,-6.68092595885359,50
255,matern32,100,29,none,-6.467409145391107,51
256,matern32,100,29,weightedmean,-6.131882291918094,51
257,matern32,100,29,gpkern,2.5196489085545144,51
258,matern32,100,29,noise,-6.467409145391107,51
259,matern32,100,29,spectrum,-6.467409145391107,51
260,matern32,100,27,none,-5.871133805388622,52
